,SiteId,avg_quarter,avg_hour,avg_day
0,5,25595.227515621787,26001.779203559192,
1,6,34005.8556215697,34487.19580281571,
2,8,47201.535196826604,48409.949416423005,
3,9,3357.436131642524,3353.6274568720723,
4,11,2359.35892375847,,
5,14,32618.731452676613,,
6,19,10341.073755426636,11216.366126410368,
7,22,26087.12114700964,,
8,23,134997.0431232314,,
9,25,25996.08006893265,26084.192697004895,
10,33,23122.81562360115,23127.809886406365,
11,34,218.13715758034746,,
12,41,127870.90694134288,,
13,43,18049.24169556569,,
14,44,11428.655046309863,11964.254166896508,
15,46,13320.11783081953,15454.17932398352,
16,48,10866.411618433087,,
17,49,3131.6420293258093,,
18,50,3242.428631103151,3266.4531085010653,
19,59,8353.292729736759,6209.607590553351,8222.96808847203
20,62,5561.404273698086,5240.833835290678,
21,63,11614.67743489079,11385.71505045506,
22,65,11882.23603948037,,
23,74,4561.537822492052,4523.799281537661,
24,75,4256.571546624789,,
25,84,1720.6363325958018,,
26,87,2426.691364348787,2141.984621979549,
27,88,3608.2759862817816,1618.4531733938993,6271.804029579158
28,89,150.11454540832978,153.08860223755283,
29,92,202.91863926262988,,
30,105,11957.338289732192,,
31,106,169007.22208900083,,75786.60729259718
32,107,69852.82814800221,,
33,108,31053.88054427476,32910.866756269235,28802.7613899624
34,109,4195.90476522639,,5200.637501314282
35,115,50919.63526483118,52964.51566490401,50927.79945212727
36,119,3316.7850612345023,,
37,120,10713.650926466105,10933.534929411868,
38,121,3237.1274991590453,2899.775151527735,
39,122,2946.2131937358085,4923.802727365579,
40,123,5491.355309539246,5542.470195027836,
41,126,1650.2350450008405,1685.6597665272213,
42,140,69900.16239893003,,
43,141,127481.14954692232,,
44,142,177464.59799340737,174526.2425974648,
45,143,652569.1512163857,659897.071512345,
46,149,7870.925139372897,,
47,162,13671.297465925816,13723.813770734721,
48,173,7995.975642989044,,
49,175,13616.282069683048,,
50,178,10249.439751581114,10720.533058491184,
51,183,284.3464494942966,149.2206630171018,45.611683775108155
52,190,3849.671225691962,,
53,191,80671.00516529585,,
54,194,6.229627026356828,6.229627026356788,
55,197,129798.15269784754,129475.08539145533,
56,200,8364.091712221261,8426.000310399211,
57,201,17187.30994972169,17185.172187700515,
58,204,1070307.4497893883,1069032.7379606,
59,205,18815.97710971359,19010.061076035643,
60,215,4932.522938202707,4808.981026437813,
61,218,21115.570824674338,,
62,221,46626.16466720169,46253.304190490024,662.5833245777757
63,222,8374.441503346214,,
64,225,6758.373014968477,,
65,227,12779.75974710954,15510.902010974865,
66,228,4735.296206516295,,
67,230,22102.941922645772,22268.295278904538,
68,232,1246.514936604679,,
69,233,105447.78359437647,104320.938865769,
70,235,135667.6631197692,131228.83730420214,
71,237,3762.0595761787217,3787.246642659643,
72,238,8122.18028146256,,
73,246,12591.25851554226,,18263.233350332186
74,252,5237.892750461157,,
75,255,2872.048890095772,,
76,257,8797.329052000907,8618.883668338583,
77,261,132560.20081302224,,
78,269,5963.872768881176,,
79,270,20941.933298659646,21654.370383254263,
80,271,803.4134221935362,,
81,276,6479.310221640045,,
82,280,3357.159954902057,,
83,284,84290.86969976533,83450.42769456607,
84,287,10466.64367763962,12493.763310653778,10879.583427864314
85,295,27209.69898821102,27056.294477558895,
86,298,9887.054017634815,11656.620180665399,14576.981405871327
87,302,44707.911305495174,44725.992392825596,
88,305,1834.8232201602486,,
89,2,,67524.36465279559,
90,16,,128937.66865934207,135657.68127806135
91,20,,201467.16382805692,
92,26,,188711.382888633,378551.80026778055
93,27,,261633.08103147865,
94,39,,2524.5913451875763,
95,40,,5485.100673632252,4531.524301736994
96,42,,35768.796981208914,
97,45,,16482.572588696785,
98,51,,96151.65931765761,
99,53,,4223.326455958222,
100,54,,3394.2744330413775,
101,57,,30630.888079852684,
102,60,,26216.052891791092,
103,66,,18760.491942968492,
104,72,,47255.75825187261,
105,73,,10007.642528313889,
106,76,,61015.36132489351,
107,77,,6680.657364661667,
108,85,,7892.566024364613,
109,86,,10866.38513547505,
110,93,,77866489.4126013,
111,96,,19696.79508807362,
112,98,,90572.02006668677,
113,99,,4989.6037379091385,
114,100,,4769.007711496784,
115,101,,764.1193487382885,
116,112,,1664.3741413244422,5360.172437071451
117,117,,973602.2842655395,
118,127,,112752.69445163998,
119,129,,54550.12881733286,
120,131,,57234.84877787037,
121,134,,93178.59141451055,86077.76971920699
122,135,,488775.49151127506,
123,146,,56551.898611083016,
124,151,,23906.87953695961,14332.462657788214
125,152,,13197.733380560081,
126,153,,1996.3010884850419,
127,154,,49139.68494945093,
128,159,,326.75951857188466,
129,160,,33729.038579028434,
130,167,,26314.133871708298,
131,169,,26149.66892269604,
132,171,,65787.30846267621,
133,174,,23629.51639593156,
134,176,,47705.71307203497,49681.22676253817
135,177,,27494.056651600855,
136,180,,81202.69766766271,
137,181,,55127.04816422084,
138,185,,186265.66113672216,
139,186,,138344.71550578464,
140,192,,94185.49853713949,
141,195,,13253719.058053749,
142,196,,4084705.5101329377,
143,198,,60814.314158550485,116532.7494382048
144,199,,53867.72786834035,13556.307526158867
145,203,,43203.55987538206,47943.74560634537
146,209,,529726.920752472,
147,212,,267353.0588707155,
148,216,,5985.151616171309,
149,223,,45232.05216966644,
150,224,,223084.52424616975,
151,231,,404328.0757231687,
152,234,,14686.357079839407,
153,236,,74145.0283856109,
154,239,,480242.38292638416,
155,247,,45832.21848185381,
156,250,,116805.5446462499,
157,251,,41336.16990424031,
158,254,,16402.062140645336,
159,259,,15993.06375656324,
160,260,,104388.56758575153,
161,263,,42613.20429368178,
162,264,,27527.01518008602,
163,266,,6361.447075825773,
164,267,,19779.82002585584,
165,268,,8142.495157136673,
166,273,,42380.33485001951,
167,277,,18388.630481160602,
168,278,,52037.16672640672,
169,281,,12929.912722712674,
170,283,,169998.8835229425,
171,285,,29896.596439772697,
172,286,,28671.418810638766,
173,288,,123757.36615321242,
174,292,,117526.20772712385,
175,294,,36934.19408005247,
176,297,,86469.73514977399,
177,300,,13067.060409511836,
178,1,,,4421744.297715583
179,3,,,6591266.765707251
180,7,,,9242658.682289079
181,10,,,1609580.5572946086
182,12,,,9848884.103937168
183,13,,,3525397.044940948
184,15,,,6833021.176407242
185,17,,,10944465.173548559
186,18,,,1517977.314262665
187,21,,,2977628.7472001687
188,29,,,1100729.2163639804
189,32,,,962560.3508348721
190,38,,,464722.28481453384
191,47,,,1200423.579846442
192,52,,,294829.1382003586
193,58,,,981097.0025802372
194,61,,,1077505.1151455059
195,64,,,978093.3314151963
196,67,,,619373.9458064741
197,68,,,4043269.624205972
198,69,,,1564770.23095759
199,70,,,976519.3389046782
200,78,,,2849925.1927922214
201,83,,,339828.4114059244
202,90,,,74600.71644144767
203,94,,,4954185.668070827
204,102,,,99069.4524113314
205,110,,,12937.168770901368
206,111,,,285445.211280971
207,116,,,2227434.8226559567
208,118,,,3171136.989779022
209,124,,,52479.77266434693
210,125,,,5245123.697161186
211,128,,,28639.051040630093
212,130,,,310806.6316062861
213,132,,,359304.93235977506
214,136,,,6478265.369043515
215,139,,,5847913.832252767
216,145,,,66337.96685511396
217,148,,,678881.0115651431
218,150,,,109352.74237108802
219,155,,,1387062.0203505352
220,156,,,18582242.431072272
221,157,,,145336.10901395898
222,158,,,993528.8384215423
223,161,,,809292.0638455561
224,163,,,646596.8118285077
225,164,,,1894629.924886109
226,165,,,921600.362651022
227,170,,,634202.9155383714
228,172,,,1673096.6554865444
229,182,,,13249.647919891013
230,184,,,1371345.794885522
231,189,,,347057.39516363683
232,193,,,1290368.010497472
233,202,,,1599587.789250124
234,206,,,120187.79870826245
235,207,,,72843.23224916856
236,208,,,1546336.3537475248
237,210,,,32621186.943590615
238,211,,,1377085.2325909764
239,213,,,33515974.701194786
240,217,,,574869.882078422
241,219,,,21695030.66075321
242,226,,,800611.4537626596
243,229,,,3145733.7504157675
244,240,,,67403.04706619435
245,241,,,1050754.283571777
246,243,,,1014007.2381876705
247,244,,,917389.4352420943
248,245,,,372351.31284774764
249,248,,,843072.5007534795
250,249,,,836722.5265002681
251,253,,,561725.7634150722
252,256,,,536139.1582678151
253,262,,,4692788.236811131
254,265,,,454331.3278789155
255,272,,,191576.5095226274
256,274,,,178312.1259092078
257,275,,,2043311.837976904
258,279,,,276219.0976556639
259,282,,,753377.6818637865
260,289,,,13348856.931339022
261,290,,,8780871.897427395
262,293,,,1712200.2535408542
263,299,,,50468.13002152637
264,301,,,1609719.8175666176
265,303,,,10662239.19694807
266,304,,,159711.88215471886
